,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,CO2,MOT Expires,Interior Trim,Euro Status,VAT Qualifying
129,4 Series,Diesel,2.0L,Automatic,"35,426 miles",2,188 bhp,2018 (68),65.7,Coupe,BLUE,2.0,Euro 6,£199,"£22,200",114 g/km,02-06-2022,,,
130,2 Series,Diesel,2.0L,Automatic,"17,431 miles",2,222 bhp,2018 (18),61.4,Coupe,RED,,Euro 6,£199,"£22,100",121 g/km,08-08-2022,,,
131,3 Series,Diesel,3.0L,Automatic,"39,993 miles",5,308 bhp,2015 (65),49.6,Estate,GREY,2.0,Euro 6,£199,"£22,100",151 g/km,24-06-2022,SADDLE LEATHER,,
132,5 Series,Diesel,2.0L,Automatic,"70,811 miles",4,188 bhp,2018 (18),65.7,Saloon,BLACK,1.0,Euro 6,£199,"£22,100",114 g/km,29-05-2022,,,
133,1 Series,Petrol,3.0L,Manual,"38,946 miles",5,335 bhp,2018 (18),36.2,Hatchback,GREY,1.0,Euro 6,£199,"£22,000",179 g/km,29-06-2022,BLACK DAKOTA LEATHER,,
134,2 Series,Hybrid Petrol,1.5L,Automatic,"20,161 miles",5,,2017 (67),,Hatchback,WHITE,1.0,Euro 6,£199,"£22,000",46 g/km,15-10-2022,,,
135,5 Series,Diesel,2.0L,Automatic,"35,011 miles",4,188 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£22,000",108 g/km,,,,
136,4 Series,Diesel,2.0L,Automatic,"17,427 miles",4,188 bhp,2017 (17),65.7,Coupe,MINERAL GREY,1.0,Euro 6,£199,"£22,000",114 g/km,17-04-2022,,,
137,5 Series,Diesel,2.0L,Automatic,"65,794 miles",5,188 bhp,2018 (18),62.8,Estate,ALPINE WHITE,1.0,Euro 6,£199,"£22,000",119 g/km,12-07-2022,BLACK DAKOTA LEATHER,,
138,4 Series,Petrol,2.0L,Automatic,"41,718 miles",4,181 bhp,2018 (68),48.7,Coupe,BLUE,1.0,Euro 6,£199,"£22,000",134 g/km,14-11-2022,,,
139,X1,Diesel,2.0L,Manual,"25,674 miles",5,148 bhp,2018 (67),60.1,Estate,BLACK SAPPHIRE,1.0,Euro 6,£199,"£22,000",124 g/km,05-01-2022,BLACK DAKOTA LEATHER,,
140,2 Series,Diesel,2.0L,Automatic,"32,158 miles",5,187 bhp,2018 (18),47.1,Estate,GREY,2.0,Euro 6,£199,"£21,900",129 g/km,27-04-2022,,,
141,5 Series,Diesel,2.0L,Automatic,"22,910 miles",4,188 bhp,2016 (66),62.8,Saloon,CARBON BLACK,1.0,Euro 6,£199,"£21,800",119 g/km,27-07-2022,,,
142,X3,Diesel,2.0L,Automatic,"50,079 miles",5,188 bhp,2016 (16),54.3,Estate,SPACE GREY,2.0,Euro 6,£199,"£21,800",138 g/km,05-01-2022,,,
143,2 Series,Diesel,2.0L,Automatic,"29,384 miles",5,187 bhp,2018 (18),47.1,Estate,BLUE,1.0,Euro 6,£199,"£21,750",129 g/km,25-06-2022,,,
144,6 Series,Diesel,3.0L,Automatic,"41,542 miles",4,308 bhp,2015 (15),49.6,Coupe,BLACK,2.0,,£199,"£21,700",149 g/km,04-10-2022,,Euro 5,
145,3 Series,Diesel,2.0L,Automatic,"51,632 miles",4,188 bhp,2018 (68),64.2,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£21,700",116 g/km,29-09-2022,BLACK DAKOTA LEATHER,,
146,X3,Diesel,2.0L,Automatic,"55,401 miles",5,188 bhp,2015 (65),54.3,Estate,BLACK SAPPHIRE,2.0,Euro 6,£199,"£21,700",138 g/km,17-09-2022,OYSTER NEVADA LEATHER,,
147,3 Series,Diesel,2.0L,Automatic,"38,728 miles",5,188 bhp,2018 (68),62.8,Estate,MINERAL GREY,1.0,Euro 6,£199,"£21,700",119 g/km,27-09-2022,BLACK DAKOTA LEATHER,,
148,3 Series,Diesel,2.0L,Automatic,"36,718 miles",5,188 bhp,2018 (18),62.8,Estate,MELBOURNE RED,2.0,Euro 6,£199,"£21,700",119 g/km,31-08-2022,,,
149,X3,Diesel,2.0L,Automatic,"51,443 miles",5,188 bhp,2017 (17),54.3,Estate,MINERAL WHITE,1.0,Euro 6,£199,"£21,700",138 g/km,,,,
150,3 Series,Diesel,3.0L,Automatic,"28,375 miles",4,308 bhp,2016 (66),51.4,Saloon,GREY,,Euro 6,£199,"£21,500",145 g/km,19-05-2022,,,
151,4 Series,Diesel,2.0L,Automatic,"48,728 miles",2,188 bhp,2018 (68),65.7,Coupe,BLACK,1.0,Euro 6,£199,"£21,500",114 g/km,,,,
152,2 Series,Petrol,1.5L,Automatic,"36,604 miles",2,134 bhp,2019 (19),50.4,Convertible,WHITE,1.0,Euro 6,£199,"£21,500",131 g/km,,,,
153,I3,Electric,,Automatic,"14,722 miles",5,168 bhp,2018 (68),1.0,Hatchback,WHITE,1.0,Euro 6,£199,"£21,400",,,,,
154,2 Series,Diesel,2.0L,Automatic,"38,371 miles",5,187 bhp,2018 (68),47.1,Estate,RED,1.0,Euro 6,£199,"£21,400",129 g/km,21-07-2022,,,
155,5 Series,Diesel,3.0L,Automatic,"24,667 miles",4,255 bhp,2015 (65),51.4,Saloon,SPACE GREY,2.0,Euro 6,£199,"£21,400",144 g/km,05-10-2022,OYSTER DAKOTA LEATHER,,
156,3 Series,Diesel,3.0L,Automatic,"45,999 miles",4,308 bhp,2016 (16),51.4,Saloon,ESTORIL BLUE,2.0,Euro 6,£199,"£21,400",145 g/km,27-11-2021,,,
157,X1,Diesel,2.0L,Automatic,"50,492 miles",5,188 bhp,2016 (66),57.7,Estate,BLACK,2.0,Euro 6,£199,"£21,400",129 g/km,02-10-2022,,,
158,X1,Petrol,1.5L,Manual,"11,290 miles",5,,2018 (18),,SUV,Grey,1.0,,£199,"£21,400",132 g/km,,,,
159,3 Series,Diesel,3.0L,Automatic,"22,488 miles",4,308 bhp,2017 (67),51.4,Saloon,WHITE,1.0,Euro 6,£199,"£21,400",145 g/km,07-10-2022,,,
160,X1,Diesel,2.0L,Manual,"21,232 miles",5,188 bhp,2016 (66),58.9,Estate,BLACK,1.0,Euro 6,£199,"£21,300",127 g/km,11-11-2021,,,
161,5 Series,Diesel,3.0L,Automatic,"37,173 miles",4,308 bhp,2015 (65),50.4,Saloon,MINERAL GREY,,Euro 6,£199,"£21,300",148 g/km,03-03-2022,OYSTER DAKOTA LEATHER,,
162,2 Series,Petrol,2.0L,Automatic,"24,682 miles",2,181 bhp,2018 (18),47.9,Coupe,WHITE,2.0,Euro 6,£199,"£21,250",135 g/km,25-06-2022,,,
163,X1,Diesel,2.0L,Automatic,"22,587 miles",5,148 bhp,2017 (17),65.7,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£21,200",114 g/km,13-08-2022,,,
164,4 Series,Diesel,2.0L,Automatic,"24,788 miles",4,188 bhp,2016 (66),65.7,Coupe,ESTORIL BLUE,2.0,Euro 6,£199,"£21,200",114 g/km,03-10-2022,,,
165,X3,Diesel,2.0L,Automatic,"56,345 miles",5,188 bhp,2017 (17),54.3,Estate,GLACIER SILVER,1.0,Euro 6,£199,"£21,200",138 g/km,30-03-2022,,,
166,X1,Diesel,2.0L,Automatic,"40,411 miles",5,188 bhp,2016 (16),57.7,Estate,WHITE,,Euro 6,£199,"£21,100",128 g/km,07-02-2022,,,
167,X3,Diesel,2.0L,Automatic,"41,295 miles",5,188 bhp,2015 (64),54.3,Estate,WHITE,,Euro 6,£199,"£21,000",138 g/km,19-09-2022,,,
168,X4,Diesel,3.0L,Automatic,"70,331 miles",4,255 bhp,2015 (65),47.9,Coupe,CARBON BLACK,,Euro 6,£199,"£21,000",156 g/km,24-11-2021,OYSTER NEVADA LEATHER,,
169,M2,Petrol,3.0L,Automatic,"49,179 miles",2,335 bhp,2016 (66),39.8,Coupe,BLACK SAPPHIRE,,Euro 6,£199,"£21,000",163 g/km,02-02-2022,BLACK DAKOTA LEATHER,,
170,X1,Petrol,2.0L,Automatic,"38,114 miles",5,189 bhp,2016 (66),44.8,Estate,ALPINE WHITE,2.0,Euro 6,£199,"£21,000",146 g/km,29-12-2021,BLACK DAKOTA LEATHER,,
171,X1,Petrol,2.0L,Automatic,"42,265 miles",5,189 bhp,2018 (68),38.2,Estate,MINERAL GREY,1.0,Euro 6,£199,"£21,000",130 g/km,17-11-2022,,,
172,X4,Diesel,2.0L,Automatic,"64,026 miles",4,188 bhp,2015 (65),54.3,Coupe,BLACK SAPPHIRE,2.0,Euro 6,£199,"£21,000",138 g/km,,BLACK NEVADA LEATHER,,
173,1 Series,Diesel,2.0L,Automatic,"22,878 miles",5,147 bhp,2018 (68),67.3,Hatchback,BLACK SAPPHIRE,2.0,Euro 6,£199,"£21,000",110 g/km,,,,
174,3 Series,Diesel,3.0L,Automatic,"46,714 miles",4,308 bhp,2017 (67),51.4,Saloon,ESTORIL BLUE,,Euro 6,£199,"£21,000",145 g/km,17-12-2021,BLACK DAKOTA LEATHER,,
175,1 Series,Petrol,2.0L,Automatic,"27,350 miles",5,181 bhp,2019 (68),47.9,Hatchback,BLACK,2.0,Euro 6,£199,"£21,000",135 g/km,,,,
176,3 Series,Hybrid Petrol,2.0L,Automatic,"44,710 miles",4,,2018 (18),,Saloon,BLACK,2.0,Euro 6,£199,"£20,900",49 g/km,20-08-2022,,,
177,X1,Diesel,2.0L,Automatic,"41,425 miles",5,187 bhp,2018 (18),60.1,Estate,GLACIER SILVER,1.0,Euro 6,£199,"£20,900",123 g/km,15-04-2022,,,
178,2 Series,Petrol,2.0L,Automatic,"13,311 miles",2,181 bhp,2017 (17),46.3,Convertible,JET BLACK,1.0,Euro 6,£199,"£20,900",138 g/km,02-06-2022,CORAL RED DAKOTA LEATHER,,
179,2 Series,Petrol,2.0L,Automatic,"35,330 miles",2,181 bhp,2018 (67),47.9,Coupe,ESTORIL BLUE,2.0,Euro 6,£199,"£20,900",135 g/km,30-01-2022,,,
180,I3,Electric,,Automatic,"21,876 miles",5,168 bhp,2018 (68),1.0,Hatchback,WHITE,1.0,Euro 6,£199,"£20,900",,,,,
181,X1,Petrol,1.5L,Manual,"38,958 miles",5,138 bhp,2018 (18),51.4,Estate,BLACK,2.0,Euro 6,£199,"£20,800",127 g/km,09-05-2022,,,
182,5 Series,Diesel,2.0L,Automatic,"44,453 miles",4,188 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£20,800",108 g/km,05-09-2022,,,
183,3 Series,Hybrid Petrol,2.0L,Automatic,"52,012 miles",4,248 bhp,2018 (18),99.99,Saloon,GREY,1.0,Euro 6,£199,"£20,750",44 g/km,15-07-2022,,,
184,2 Series,Petrol,2.0L,Automatic,"26,445 miles",2,248 bhp,2016 (66),45.6,Convertible,ALPINE WHITE,,Euro 6,£199,"£20,750",142 g/km,20-03-2022,,,
185,X2,Diesel,2.0L,Automatic,"68,822 miles",5,187 bhp,2018 (18),61.4,Hatchback,BLACK,1.0,Euro 6,£199,"£20,700",121 g/km,30-07-2022,,,
186,X1,Petrol,1.5L,Manual,"25,235 miles",5,138 bhp,2018 (68),51.4,Estate,WHITE,2.0,Euro 6,£199,"£20,700",121 g/km,30-10-2022,,,
187,X1,Petrol,1.5L,Automatic,"32,497 miles",5,138 bhp,2018 (68),46.3,Estate,WHITE,1.0,Euro 6,£199,"£20,700",122 g/km,24-10-2022,,,
188,X1,Diesel,2.0L,Automatic,"44,030 miles",5,187 bhp,2018 (18),60.1,Estate,BLACK,1.0,Euro 6,£199,"£20,700",123 g/km,09-08-2022,,,
189,2 Series,Hybrid Petrol,1.5L,Automatic,"20,953 miles",5,,2017 (67),,Hatchback,BLACK,2.0,Euro 6,£199,"£20,600",46 g/km,29-11-2021,,,
190,4 Series,Diesel,2.0L,Automatic,"28,997 miles",4,188 bhp,2017 (17),65.7,Coupe,WHITE,1.0,Euro 6,£199,"£20,600",114 g/km,24-06-2022,,,
191,X1,Diesel,2.0L,Automatic,"49,876 miles",5,228 bhp,2016 (66),55.4,Estate,ALPINE WHITE,,Euro 6,£199,"£20,600",133 g/km,19-10-2022,,,
192,3 Series,Diesel,2.0L,Automatic,"27,828 miles",5,188 bhp,2017 (66),62.8,Estate,WHITE,1.0,Euro 6,£199,"£20,600",119 g/km,31-10-2022,BLACK DAKOTA LEATHER,, 
193,X1,Diesel,2.0L,Automatic,"52,230 miles",5,187 bhp,2018 (18),60.1,Estate,SUNSET ORANGE,1.0,Euro 6,£199,"£20,600",123 g/km,07-04-2022,,,
194,5 Series,Diesel,2.0L,Automatic,"82,772 miles",4,188 bhp,2017 (67),65.7,Saloon,BLUE,1.0,Euro 6,£199,"£20,500",114 g/km,30-12-2021,,,
195,1 Series,Petrol,1.5L,Automatic,"17,483 miles",5,134 bhp,2019 (68),54.3,Hatchback,ALPINE WHITE,2.0,Euro 6,£199,"£20,500",122 g/km,,BLACK DAKOTA LEATHER,,
196,4 Series,Diesel,2.0L,Automatic,"44,320 miles",4,188 bhp,2019 (68),65.7,Coupe,BLUE,1.0,Euro 6,£199,"£20,500",114 g/km,,BLACK DAKOTA LEATHER,,
197,4 Series,Diesel,2.0L,Manual,"10,540 miles",4,188 bhp,2017 (17),62.8,Coupe,MINERAL GREY,1.0,Euro 6,£199,"£20,500",119 g/km,28-03-2022,BLACK DAKOTA LEATHER,,
198,3 Series,Diesel,2.0L,Automatic,"32,400 miles",5,188 bhp,2018 (18),62.8,Estate,GREY,1.0,Euro 6,£199,"£20,500",119 g/km,06-09-2022,,,
199,4 Series,Diesel,2.0L,Automatic,"36,763 miles",2,188 bhp,2018 (18),65.7,Coupe,BLUE,1.0,Euro 6,£199,"£20,500",114 g/km,30-05-2022,,,
200,X2,Diesel,2.0L,Automatic,"57,746 miles",5,187 bhp,2018 (18),58.9,Hatchback,Galvanic Gold Metallic,1.0,Euro 6,£199,"£20,500",126 g/km,27-06-2022,,, 
201,4 Series,Petrol,2.0L,Manual,"21,308 miles",2,181 bhp,2017 (67),42.8,Convertible,WHITE,1.0,Euro 6,£199,"£20,400",153 g/km,03-09-2022,BLACK DAKOTA LEATHER,,
202,I3,Electric,,Automatic,"14,631 miles",5,168 bhp,2018 (18),1.0,Hatchback,WHITE,1.0,Euro 6,£199,"£20,400",,,,,
203,5 Series,Diesel,2.0L,Automatic,"49,183 miles",4,188 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£20,400",108 g/km,29-09-2022,,,
204,X1,Diesel,2.0L,Automatic,"49,623 miles",5,148 bhp,2017 (17),60.1,Estate,WHITE,2.0,Euro 6,£199,"£20,400",124 g/km,13-03-2022,,,
205,5 Series,Diesel,2.0L,Automatic,"24,569 miles",4,188 bhp,2016 (66),62.8,Saloon,Mediterranean Blue,1.0,Euro 6,£199,"£20,400",119 g/km,01-07-2022,,,
206,3 Series,Diesel,3.0L,Automatic,"66,745 miles",5,255 bhp,2017 (66),51.4,Estate,BLACK,2.0,Euro 6,£199,"£20,400",145 g/km,31-10-2022,,,
207,5 Series,Diesel,2.0L,Automatic,"42,444 miles",4,188 bhp,2017 (17),68.9,Saloon,BLACK,1.0,Euro 6,£199,"£20,300",108 g/km,03-12-2021,,,
208,2 Series,Petrol,1.5L,Automatic,"38,175 miles",5,138 bhp,2018 (68),39.8,Estate,RED,1.0,Euro 6,£199,"£20,300",137 g/km,12-09-2022,,,
209,3 Series,Diesel,2.0L,Automatic,"50,715 miles",4,188 bhp,2018 (68),64.2,Saloon,WHITE,1.0,Euro 6,£199,"£20,250",116 g/km,,,,
210,2 Series,Petrol,1.5L,Manual,"16,631 miles",2,134 bhp,2018 (68),52.3,Coupe,ALPINE WHITE,,Euro 6,£199,"£20,200",130 g/km,,BLACK DAKOTA LEATHER,,
211,3 Series,Petrol,2.0L,Automatic,"27,813 miles",4,181 bhp,2018 (18),51.4,Saloon,WHITE,1.0,Euro 6,£199,"£20,150",129 g/km,16-06-2022,,,
212,X1,Diesel,2.0L,Automatic,"52,185 miles",5,148 bhp,2017 (17),65.7,Estate,ALPINE WHITE,1.0,Euro 6,£199,"£20,100",114 g/km,08-10-2022,,,
213,1 Series,Petrol,1.5L,Automatic,"25,057 miles",5,134 bhp,2018 (68),54.3,Hatchback,WHITE,,Euro 6,£199,"£20,100",122 g/km,12-10-2022,,,
214,2 Series,Petrol,1.5L,Automatic,"20,392 miles",2,134 bhp,2018 (18),53.3,Coupe,BLACK SAPPHIRE,1.0,Euro 6,£199,"£20,100",124 g/km,25-04-2022,,,
215,X1,Diesel,2.0L,Manual,"40,860 miles",5,148 bhp,2018 (68),68.9,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£20,100",109 g/km,18-10-2022,,,
216,2 Series,Petrol,1.5L,Automatic,"31,435 miles",2,134 bhp,2017 (67),50.4,Coupe,ESTORIL BLUE,2.0,Euro 6,£199,"£20,100",130 g/km,01-07-2022,,,
217,5 Series,Diesel,2.0L,Automatic,"60,209 miles",4,188 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£20,100",108 g/km,16-02-2022,,,
218,2 Series,Diesel,2.0L,Automatic,"50,025 miles",5,187 bhp,2018 (68),47.1,Estate,BLUE,1.0,Euro 6,£199,"£20,100",129 g/km,23-09-2022,,,
219,2 Series,Diesel,2.0L,Automatic,"28,872 miles",2,148 bhp,2018 (18),62.8,Convertible,WHITE,2.0,Euro 6,£199,"£20,000",118 g/km,14-07-2022,,,
220,3 Series,Diesel,2.0L,Automatic,"42,358 miles",4,188 bhp,2017 (67),64.2,Saloon,ESTORIL BLUE,,Euro 6,£199,"£20,000",116 g/km,30-08-2022,,,
221,3 Series,Diesel,2.0L,Automatic,"25,124 miles",4,188 bhp,2017 (17),64.2,Saloon,BLACK,,Euro 6,£199,"£20,000",116 g/km,15-09-2022,,,
222,4 Series,Diesel,2.0L,Automatic,"46,634 miles",2,188 bhp,2017 (17),60.1,Convertible,BLACK SAPPHIRE,2.0,Euro 6,£199,"£20,000",124 g/km,30-09-2022,BMW Individual Nutmeg extended leather,,
223,2 Series,Petrol,2.0L,Automatic,"16,249 miles",2,181 bhp,2017 (67),47.9,Coupe,BLUE,2.0,Euro 6,£199,"£20,000",135 g/km,26-08-2022,,,
224,3 Series,Hybrid Petrol,2.0L,Automatic,"37,428 miles",4,,2017 (67),,Saloon,WHITE,1.0,Euro 6,£199,"£20,000",49 g/km,09-09-2022,,,
225,X4,Diesel,2.0L,Automatic,"74,109 miles",4,188 bhp,2015 (65),54.3,Coupe,ALPINE WHITE,2.0,Euro 6,£199,"£20,000",138 g/km,17-05-2022,BLACK NEVADA LEATHER,,
226,6 Series,Petrol,3.0L,Automatic,"43,924 miles",2,315 bhp,2015 (65),36.7,Coupe,RED,,Euro 6,£199,"£20,000",180 g/km,07-03-2022,,,
227,2 Series,Petrol,1.5L,Automatic,"33,661 miles",2,134 bhp,2018 (67),50.4,Coupe,BLACK,1.0,Euro 6,£199,"£20,000",130 g/km,19-01-2022,,,
228,3 Series,Diesel,2.0L,Automatic,"59,452 miles",5,188 bhp,2017 (67),62.8,Estate,MINERAL GREY,,Euro 6,£199,"£20,000",119 g/km,10-12-2021,BLACK DAKOTA LEATHER,,
229,3 Series,Hybrid Petrol,2.0L,Automatic,"40,765 miles",4,,2018 (18),,Saloon,GREY,2.0,Euro 6,£199,"£20,000",49 g/km,20-08-2022,,,
230,4 Series,Diesel,3.0L,Automatic,"65,767 miles",2,308 bhp,2016 (66),50.4,Coupe,GREY,,Euro 6,£199,"£20,000",147 g/km,12-01-2022,,,
231,3 Series,Diesel,2.0L,Automatic,"30,085 miles",4,188 bhp,2018 (18),64.2,Saloon,SILVER,,Euro 6,£199,"£19,900",116 g/km,27-07-2022,,,
232,4 Series,Petrol,2.0L,Automatic,"38,468 miles",2,181 bhp,2018 (18),45.6,Coupe,BLACK,2.0,Euro 6,£199,"£19,900",144 g/km,,,,
233,5 Series,Diesel,2.0L,Automatic,"46,133 miles",5,188 bhp,2016 (66),60.1,Estate,CARBON BLACK,,Euro 6,£199,"£19,900",123 g/km,30-11-2022,,,
234,2 Series,Petrol,1.5L,Manual,"29,147 miles",5,138 bhp,2018 (68),40.4,Estate,BLUE,1.0,Euro 6,£199,"£19,900",137 g/km,25-10-2022,,,
235,3 Series,Diesel,2.0L,Automatic,"36,246 miles",4,188 bhp,2017 (67),60.1,Saloon,GLACIER SILVER,1.0,Euro 6,£199,"£19,800",123 g/km,28-09-2022,BLACK DAKOTA LEATHER,,
236,2 Series,Diesel,2.0L,Automatic,"39,727 miles",5,187 bhp,2018 (68),49.6,Hatchback,RED,1.0,Euro 6,£199,"£19,800",124 g/km,01-07-2022,,,
237,4 Series,Diesel,2.0L,Manual,"33,623 miles",2,188 bhp,2016 (16),55.4,Convertible,BMW Individual paintwork Tanzanite Blue ,,Euro 6,£199,"£19,800",134 g/km,27-06-2022,BMW Individual Opal white extended leather,,
238,1 Series,Diesel,2.0L,Manual,"17,380 miles",5,147 bhp,2018 (68),65.7,Hatchback,ORANGE,1.0,Euro 6,£199,"£19,800",114 g/km,,,,
239,3 Series,Hybrid Petrol,2.0L,Automatic,"48,448 miles",4,,2018 (18),,Saloon,WHITE,1.0,Euro 6,£199,"£19,750",49 g/km,29-06-2022,,,
240,4 Series,Diesel,2.0L,Automatic,"30,042 miles",2,188 bhp,2016 (66),65.7,Coupe,ESTORIL BLUE,2.0,Euro 6,£199,"£19,750",114 g/km,16-02-2022,,,
241,2 Series,Petrol,1.5L,Automatic,"24,298 miles",2,134 bhp,2018 (18),53.3,Coupe,MINERAL GREY,2.0,Euro 6,£199,"£19,700",124 g/km,06-07-2022,,,
242,4 Series,Diesel,2.0L,Automatic,"53,386 miles",4,188 bhp,2016 (66),58.9,Coupe,BLACK,2.0,Euro 6,£199,"£19,700",126 g/km,13-10-2021,,,
243,X1,Diesel,2.0L,Automatic,"50,029 miles",5,188 bhp,2016 (16),57.7,Estate,GLACIER SILVER,,Euro 6,£199,"£19,600",128 g/km,30-03-2022,,,
244,2 Series,Petrol,2.0L,Automatic,"39,356 miles",2,181 bhp,2017 (67),47.9,Coupe,WHITE,2.0,Euro 6,£199,"£19,600",135 g/km,12-01-2022,,,
245,1 Series,Petrol,1.5L,Manual,"22,777 miles",5,134 bhp,2019 (19),52.3,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£19,500",126 g/km,,,,
246,2 Series,Petrol,1.5L,Manual,"15,236 miles",5,138 bhp,2018 (68),40.9,Estate,SILVER,1.0,Euro 6,£199,"£19,500",137 g/km,13-09-2022,,,
247,1 Series,Petrol,1.5L,Manual,"24,759 miles",5,134 bhp,2018 (68),37.2,Hatchback,GREY,1.0,Euro 6,£199,"£19,500",137 g/km,22-10-2022,,,
248,4 Series,Petrol,2.0L,Manual,"49,286 miles",2,248 bhp,2016 (66),40.4,Convertible,BLUE,1.0,Euro 6,£199,"£19,500",162 g/km,04-08-2022,,,
249,3 Series,Hybrid Petrol,2.0L,Automatic,"42,000 miles",4,,2017 (67),,Saloon,MINERAL GREY,2.0,Euro 6,£199,"£19,500",,14-09-2022,OYSTER DAKOTA LEATHER,,
250,3 Series,Diesel,2.0L,Automatic,"35,330 miles",4,188 bhp,2018 (18),64.2,Saloon,GLACIER SILVER,2.0,Euro 6,£199,"£19,500",116 g/km,05-05-2022,BLACK DAKOTA LEATHER,,
251,2 Series,Hybrid Petrol,1.5L,Automatic,"43,704 miles",5,,2018 (68),,Hatchback,BLUE,1.0,Euro 6,£199,"£19,500",57 g/km,14-09-2022,,,
252,2 Series,Diesel,2.0L,Automatic,"26,634 miles",5,187 bhp,2018 (18),51.4,Hatchback,ORANGE,2.0,Euro 6,£199,"£19,500",124 g/km,24-05-2022,,,
253,2 Series,Diesel,2.0L,Manual,"9,997 miles",5,188 bhp,2017 (17),64.2,Hatchback,BLACK,1.0,Euro 6,£199,"£19,500",115 g/km,01-08-2022,,,
254,3 Series,Hybrid Petrol,2.0L,Automatic,"46,275 miles",4,,2018 (18),,Saloon,WHITE,1.0,Euro 6,£199,"£19,500",49 g/km,11-05-2022,,,
255,X1,Diesel,2.0L,Automatic,"63,545 miles",5,187 bhp,2018 (18),60.1,Estate,BLACK SAPPHIRE,1.0,Euro 6,£199,"£19,500",123 g/km,09-04-2022,,,
