,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Euro Status
284,Gla Class,Diesel,2.1L,Automatic,"31,006 miles",5,134 bhp,2017 (17),64.2,Estate,115 g/km,WHITE,2.0,Euro 6,£199,"£20,200",03-11-2022,
285,CLS,Diesel,2.1L,Automatic,"42,902 miles",4,174 bhp,2016 (16),57.7,Coupe,128 g/km,RED,2.0,Euro 6,£199,"£20,200",12-12-2021,
286,Gla Class,Petrol,2.0L,Automatic,"72,419 miles",5,211 bhp,2015 (15),42.8,Estate,154 g/km,BLACK,2.0,Euro 6,£199,"£20,100",05-07-2022,
287,Cla Class,Petrol,1.6L,Manual,"25,158 miles",4,121 bhp,2018 (18),51.4,Saloon,152 g/km,SILVER,1.0,Euro 6,£199,"£20,100",30-07-2022,
288,A Class,Diesel,2.1L,Automatic,"29,335 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£20,100",,
289,C Class,Diesel,2.1L,Automatic,"57,366 miles",4,170 bhp,2018 (67),61.4,Saloon,117 g/km,BLACK,2.0,Euro 6,£199,"£20,100",28-02-2022,
290,Cla Class,Diesel,2.1L,Automatic,"56,557 miles",5,134 bhp,2018 (18),68.9,Estate,106 g/km,WHITE,,Euro 6,£199,"£20,100",18-03-2022,
291,A Class,Petrol,2.0L,Automatic,"50,880 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,RED,1.0,Euro 6,£199,"£20,000",,
292,C Class,Diesel,2.1L,Automatic,"45,083 miles",4,170 bhp,2017 (17),64.2,Saloon,113 g/km,SILVER,,Euro 6,£199,"£20,000",08-07-2022,
293,C Class,Petrol,2.0L,Automatic,"23,681 miles",4,184 bhp,2017 (66),52.3,Saloon,124 g/km,SILVER,2.0,Euro 6,£199,"£20,000",12-01-2022,
294,Gla Class,Diesel,2.1L,Automatic,"30,415 miles",5,134 bhp,2016 (16),56.5,Estate,130 g/km,WHITE,2.0,Euro 6,£199,"£20,000",31-08-2022,
295,C Class,Diesel,2.0L,Automatic,"27,374 miles",4,191 bhp,2018 (68),61.4,Saloon,121 g/km,BLUE,2.0,Euro 6,£199,"£20,000",,
296,Gla Class,Diesel,2.1L,Manual,"19,676 miles",5,134 bhp,2017 (67),67.3,Estate,110 g/km,BLUE,1.0,Euro 6,£199,"£20,000",31-08-2022,
297,C Class,Diesel,2.1L,Automatic,"46,223 miles",2,168 bhp,2016 (16),68.9,Coupe,106 g/km,SILVER,,Euro 6,£199,"£20,000",04-02-2022,
298,A Class,Diesel,1.5L,Automatic,"21,308 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,WHITE,1.0,Euro 6,£199,"£20,000",27-09-2022,
299,A Class,Diesel,2.1L,Automatic,"22,598 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,GREEN,,Euro 6,£199,"£20,000",18-06-2022,
300,Gla Class,Diesel,2.1L,Automatic,"49,172 miles",5,174 bhp,2016 (16),56.5,Estate,130 g/km,BLACK,,Euro 6,£199,"£20,000",07-10-2022,
301,C Class,Diesel,2.1L,Automatic,"42,552 miles",5,170 bhp,2017 (17),60.1,Estate,120 g/km,BLUE,2.0,Euro 6,£199,"£20,000",30-03-2022,
302,A Class,Diesel,1.5L,Automatic,"38,258 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,GREY,1.0,Euro 6,£199,"£20,000",,
303,C Class,Diesel,2.1L,Automatic,"59,632 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,SILVER,,Euro 6,£199,"£20,000",17-02-2022,
304,Gla Class,Petrol,1.6L,Manual,"39,253 miles",5,154 bhp,2018 (18),48.7,Estate,134 g/km,WHITE,1.0,Euro 6,£199,"£20,000",23-07-2022,
305,Gla Class,Diesel,2.1L,Automatic,"32,255 miles",5,174 bhp,2016 (16),56.5,Estate,130 g/km,SILVER,2.0,Euro 6,£199,"£20,000",21-03-2022,
306,Gla Class,Diesel,2.1L,Automatic,"50,469 miles",5,134 bhp,2017 (67),64.2,Estate,115 g/km,GREY,,Euro 6,£199,"£20,000",22-03-2022,
307,C Class,Diesel,2.1L,Automatic,"57,460 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,SILVER,2.0,Euro 6,£199,"£20,000",03-10-2022,
308,C Class,Diesel,2.1L,Automatic,"61,089 miles",4,170 bhp,2017 (67),61.4,Saloon,117 g/km,BLACK,2.0,Euro 6,£199,"£20,000",29-09-2022,
309,C Class,Diesel,2.1L,Automatic,"53,377 miles",5,170 bhp,2015 (65),61.4,Estate,118 g/km,WHITE,2.0,Euro 6,£199,"£19,950",07-11-2021,
310,C Class,Diesel,2.1L,Automatic,"57,771 miles",5,170 bhp,2016 (16),61.4,Estate,118 g/km,WHITE,2.0,Euro 6,£199,"£19,950",08-06-2022,
311,C Class,Diesel,2.1L,Automatic,"50,827 miles",4,170 bhp,2016 (65),64.2,Saloon,113 g/km,GREY,,Euro 6,£199,"£19,900",15-01-2022,
312,E Class,Diesel,2.1L,Automatic,"33,087 miles",2,174 bhp,2016 (16),56.5,Convertible,133 g/km,WHITE,,Euro 6,£199,"£19,900",06-07-2022,
313,A Class,Diesel,2.1L,Automatic,"65,106 miles",5,174 bhp,2017 (17),67.3,Hatchback,109 g/km,RED,1.0,Euro 6,£199,"£19,900",07-10-2022,
314,C Class,Diesel,2.1L,Automatic,"45,527 miles",5,170 bhp,2017 (17),64.2,Estate,114 g/km,BLACK,2.0,Euro 6,£199,"£19,800",20-07-2022,
315,Gla,Petrol,2.0L,Automatic,"73,365 miles",5,208 bhp,2017 (67),42.8,Estate,155 g/km,GREY,1.0,Euro 6,£199,"£19,800",18-10-2022,
316,Gla Class,Petrol,1.6L,Manual,"25,714 miles",5,154 bhp,2018 (18),48.7,Estate,134 g/km,WHITE,1.0,Euro 6,£199,"£19,750",16-08-2022,
317,Gla Class,Diesel,2.1L,Automatic,"43,839 miles",5,134 bhp,2017 (67),67.3,Estate,108 g/km,BLUE,2.0,Euro 6,£199,"£19,750",29-12-2021,
318,A Class,Petrol,1.6L,Automatic,"47,211 miles",5,121 bhp,2018 (18),52.3,Hatchback,126 g/km,SILVER,2.0,Euro 6,£199,"£19,700",30-05-2022,
319,Gla Class,Diesel,2.1L,Automatic,"42,722 miles",5,168 bhp,2015 (65),55.4,Estate,132 g/km,GREY,,Euro 6,£199,"£19,700",05-10-2022,
320,Cla Class,Petrol,1.6L,Manual,"27,134 miles",4,121 bhp,2018 (68),51.4,Saloon,152 g/km,WHITE,1.0,Euro 6,£199,"£19,700",23-09-2022,
321,C Class,Diesel,1.6L,Automatic,"38,961 miles",4,136 bhp,2017 (67),65.7,Saloon,111 g/km,BLACK,1.0,Euro 6,£199,"£19,600",15-12-2021,
322,Cla Class,Petrol,1.6L,Manual,"41,435 miles",4,121 bhp,2018 (18),51.4,Saloon,152 g/km,GREY,1.0,Euro 6,£199,"£19,600",06-09-2022,
323,Cla Class,Petrol,1.6L,Manual,"10,754 miles",4,121 bhp,2018 (18),51.4,Saloon,128 g/km,WHITE,1.0,Euro 6,£199,"£19,600",28-06-2022,
324,C Class,Diesel,1.6L,Manual,"19,610 miles",4,136 bhp,2016 (16),68.9,Saloon,106 g/km,RED,2.0,Euro 6,£199,"£19,600",01-08-2022,
325,A Class,Diesel,2.1L,Automatic,"32,813 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£19,550",06-01-2022,
326,C Class,Diesel,1.6L,Automatic,"10,399 miles",4,136 bhp,2016 (66),65.7,Saloon,111 g/km,SILVER,1.0,Euro 6,£199,"£19,500",22-12-2021,
327,E Class,Diesel,2.1L,Automatic,"38,489 miles",2,174 bhp,2016 (16),56.5,Convertible,133 g/km,WHITE,2.0,Euro 6,£199,"£19,500",21-06-2022,
328,C Class,Diesel,1.6L,Automatic,"32,198 miles",4,136 bhp,2017 (17),64.2,Saloon,114 g/km,SILVER,2.0,Euro 6,£199,"£19,500",23-09-2022,
329,B Class,Petrol,1.6L,Automatic,"18,537 miles",5,121 bhp,2018 (68),50.4,MPV,129 g/km,GREY,1.0,Euro 6,£199,"£19,500",,
330,C Class,Diesel,2.1L,Automatic,"50,487 miles",4,170 bhp,2015 (65),64.2,Saloon,113 g/km,BLACK,2.0,Euro 6,£199,"£19,500",22-10-2022,
331,C Class,Diesel,2.1L,Automatic,"69,647 miles",4,204 bhp,2016 (66),64.2,Saloon,113 g/km,BLACK,,Euro 6,£199,"£19,500",25-01-2022,
332,C Class,Petrol,2.0L,Automatic,"32,975 miles",4,184 bhp,2016 (16),51.4,Saloon,127 g/km,SILVER,2.0,Euro 6,£199,"£19,500",26-11-2021,
333,CLS,Diesel,3.0L,Automatic,"49,854 miles",4,255 bhp,2014 (64),52.3,Coupe,142 g/km,BLACK,,Euro 6,£199,"£19,500",09-11-2022,
334,A Class,Diesel,2.1L,Automatic,"54,662 miles",5,134 bhp,2016 (66),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£19,500",27-09-2022,
335,A Class,Diesel,2.1L,Automatic,"29,732 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,BLUE,2.0,Euro 6,£199,"£19,400",,
336,Gla Class,Diesel,2.1L,Manual,"47,717 miles",5,134 bhp,2017 (67),67.3,Estate,110 g/km,WHITE,1.0,Euro 6,£199,"£19,400",17-10-2022,
337,A Class,Petrol,1.6L,Manual,"16,169 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,BLACK,1.0,Euro 6,£199,"£19,400",25-04-2022,
338,C Class,Hybrid Petrol,2.0L,Automatic,"44,377 miles",4,,2017 (17),,Saloon,48 g/km,SILVER,1.0,Euro 6,£199,"£19,300",14-03-2022,
339,C Class,Diesel,2.1L,Manual,"34,011 miles",4,170 bhp,2018 (18),68.9,Saloon,106 g/km,BLACK,1.0,Euro 6,£199,"£19,250",28-05-2022,
340,A Class,Petrol,1.6L,Manual,"26,055 miles",5,154 bhp,2017 (17),49.6,Hatchback,134 g/km,WHITE,2.0,Euro 6,£199,"£19,200",07-06-2022,
341,A Class,Petrol,1.6L,Automatic,"41,328 miles",5,,2016 (66),,Hatchback,126 g/km,Grey,,,£199,"£19,200",,
342,Gla Class,Diesel,2.1L,Automatic,"43,884 miles",5,,2015 (65),,SUV,130 g/km,White,2.0,,£199,"£19,200",,
343,C Class,Petrol,1.6L,Automatic,"60,773 miles",4,154 bhp,2019 (69),38.2,Saloon,145 g/km,BLACK,1.0,Euro 6,£199,"£19,100",,
344,C Class,Diesel,2.1L,Automatic,"32,298 miles",5,170 bhp,2017 (17),64.2,Estate,114 g/km,BLUE,1.0,Euro 6,£199,"£19,100",,
345,C Class,Diesel,2.1L,Automatic,"62,229 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,SILVER,,Euro 6,£199,"£19,100",27-05-2022,
346,C Class,Diesel,2.1L,Automatic,"54,382 miles",4,170 bhp,2018 (18),61.4,Saloon,117 g/km,SILVER,,Euro 6,£199,"£19,100",20-06-2022,
347,C Class,Diesel,2.1L,Automatic,"38,611 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,2.0,Euro 6,£199,"£19,100",18-02-2022,
348,C Class,Diesel,1.6L,Automatic,"42,494 miles",4,136 bhp,2016 (66),64.2,Saloon,114 g/km,BLACK,,Euro 6,£199,"£19,100",19-10-2022,
349,A Class,Petrol,1.6L,Automatic,"38,486 miles",5,121 bhp,2018 (67),53.3,Hatchback,124 g/km,WHITE,1.0,Euro 6,£199,"£19,000",08-02-2022,
350,A Class,Diesel,2.1L,Manual,"20,775 miles",5,,2017 (67),,Hatchback,111 g/km,Grey,2.0,,£199,"£19,000",,
351,C Class,Diesel,2.1L,Automatic,"57,013 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,1.0,Euro 6,£199,"£19,000",,
352,A Class,Diesel,1.5L,Automatic,"27,823 miles",5,114 bhp,2018 (68),68.9,Hatchback,108 g/km,WHITE,1.0,Euro 6,£199,"£19,000",09-09-2022,
353,A Class,Petrol,1.6L,Manual,"10,746 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,WHITE,1.0,Euro 6,£199,"£19,000",29-04-2022,
354,Gla Class,Diesel,2.1L,Manual,"41,173 miles",5,134 bhp,2017 (17),64.2,Estate,115 g/km,WHITE,1.0,Euro 6,£199,"£19,000",16-08-2022,
355,A Class,Diesel,2.1L,Automatic,"31,320 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,BLUE,2.0,Euro 6,£199,"£19,000",05-10-2022,
356,C Class,Diesel,2.1L,Automatic,"44,141 miles",4,170 bhp,2017 (67),64.2,Saloon,112 g/km,SILVER,1.0,Euro 6,£199,"£19,000",10-10-2022,
357,Gla Class,Diesel,2.1L,Manual,"22,689 miles",5,134 bhp,2017 (17),67.3,Estate,110 g/km,RED,1.0,Euro 6,£199,"£19,000",29-08-2022,
358,Cla Class,Diesel,2.1L,Manual,"23,330 miles",4,134 bhp,2018 (18),67.3,Saloon,109 g/km,RED,1.0,Euro 6,£199,"£19,000",31-10-2022,
359,C Class,Diesel,2.1L,Automatic,"67,299 miles",5,170 bhp,2016 (16),61.4,Estate,118 g/km,BLACK,2.0,Euro 6,£199,"£18,950",12-03-2022,
360,A Class,Diesel,2.1L,Automatic,"54,199 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,GREY,1.0,Euro 6,£199,"£18,900",09-07-2022,
361,Gla Class,Diesel,2.1L,Manual,"36,843 miles",5,134 bhp,2017 (17),67.3,Estate,110 g/km,WHITE,1.0,Euro 6,£199,"£18,900",02-09-2022,
362,Gla Class,Petrol,1.6L,Manual,"23,920 miles",5,154 bhp,2017 (17),48.7,Estate,134 g/km,WHITE,1.0,Euro 6,£199,"£18,900",24-08-2022,
363,C Class,Petrol,2.0L,Automatic,"29,010 miles",4,184 bhp,2016 (16),52.3,Saloon,124 g/km,RED,,Euro 6,£199,"£18,900",19-08-2022,
364,Gla Class,Diesel,2.1L,Automatic,"60,693 miles",5,168 bhp,2015 (65),55.4,Estate,132 g/km,BLACK,2.0,Euro 6,£199,"£18,900",29-11-2021,
365,C Class,Diesel,2.1L,Automatic,"57,077 miles",4,170 bhp,2017 (66),64.2,Saloon,113 g/km,BLUE,2.0,Euro 6,£199,"£18,900",08-02-2022,
366,C Class,Diesel,2.1L,Automatic,"47,092 miles",5,170 bhp,2014 (64),61.4,Estate,118 g/km,GREY,,Euro 6,£199,"£18,850",14-10-2021,
367,Gla Class,Diesel,2.1L,Manual,"58,812 miles",5,134 bhp,2018 (18),67.3,Estate,110 g/km,BLACK,1.0,Euro 6,£199,"£18,800",07-05-2022,
368,E Class,Diesel,3.0L,Automatic,"30,251 miles",2,255 bhp,2015 (15),50.4,Convertible,146 g/km,BLACK,2.0,Euro 6,£199,"£18,800",28-10-2021,
369,Cla Class,Diesel,2.1L,Automatic,"38,695 miles",4,174 bhp,2015 (65),67.3,Saloon,109 g/km,WHITE,,Euro 6,£199,"£18,800",27-05-2022,
370,A Class,Diesel,1.5L,Automatic,"45,032 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,GREY,1.0,Euro 6,£199,"£18,750",29-09-2022,
371,A Class,Diesel,2.1L,Automatic,"36,230 miles",5,134 bhp,2018 (18),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£18,750",,
372,C Class,Diesel,2.1L,Automatic,"55,145 miles",5,170 bhp,2015 (65),61.4,Estate,118 g/km,BLUE,2.0,Euro 6,£199,"£18,700",18-10-2022,
373,B Class,Diesel,2.1L,Automatic,"19,724 miles",5,134 bhp,2017 (66),68.9,MPV,106 g/km,SILVER,2.0,Euro 6,£199,"£18,700",15-12-2021,
374,C Class,Petrol,2.0L,Automatic,"41,978 miles",4,184 bhp,2015 (15),51.4,Saloon,127 g/km,WHITE,,Euro 6,£199,"£18,700",12-07-2022,
375,A Class,Petrol,1.6L,Manual,"17,772 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,CIRRUS WHITE,1.0,Euro 6,£199,"£18,700",03-05-2022,
376,Cla Class,Diesel,2.1L,Automatic,"40,734 miles",4,174 bhp,2016 (66),67.3,Saloon,109 g/km,BLACK,,Euro 6,£199,"£18,600",08-06-2022,
377,A Class,Diesel,1.5L,Automatic,"53,111 miles",5,107 bhp,2017 (66),74.3,Hatchback,101 g/km,RED,2.0,Euro 6,£199,"£18,600",30-01-2022,
378,A Class,Petrol,1.6L,Manual,"16,894 miles",5,121 bhp,2017 (66),49.6,Hatchback,134 g/km,GREY,2.0,Euro 6,£199,"£18,600",30-01-2022,
379,C Class,Diesel,2.1L,Automatic,"24,761 miles",4,170 bhp,2015 (65),64.2,Saloon,110 g/km,SILVER,,Euro 6,£199,"£18,550",25-09-2022,
380,C Class,Hybrid Petrol,2.0L,Automatic,"62,109 miles",4,,2017 (17),,Saloon,48 g/km,WHITE,1.0,Euro 6,£199,"£18,510",10-08-2022,
381,C Class,Diesel,2.1L,Manual,"54,392 miles",4,170 bhp,2017 (17),68.9,Saloon,106 g/km,BLUE,2.0,Euro 6,£199,"£18,500",13-12-2021,
382,A Class,Petrol,1.6L,Manual,"28,534 miles",5,102 bhp,2018 (67),51.4,Hatchback,126 g/km,BLUE,2.0,Euro 6,£199,"£18,500",25-05-2022,
383,Gla Class,Diesel,2.1L,Automatic,"25,871 miles",5,168 bhp,2015 (15),55.4,Estate,132 g/km,GREY,2.0,Euro 6,£199,"£18,500",03-10-2022,
384,CLS,Diesel,2.1L,Automatic,"40,133 miles",4,174 bhp,2016 (16),57.7,Coupe,128 g/km,BLACK,2.0,Euro 6,£199,"£18,500",11-10-2021,
385,CLS,Diesel,2.1L,Automatic,"41,391 miles",4,174 bhp,2016 (16),57.7,Coupe,128 g/km,BLACK,,Euro 6,£199,"£18,500",21-10-2022,
386,C Class,Diesel,2.1L,Automatic,"38,611 miles",5,204 bhp,2017 (67),62.8,Estate,117 g/km,HYACINTH RED,2.0,Euro 6,£199,"£18,500",19-11-2021,
387,Gla Class,Diesel,2.1L,Automatic,"49,771 miles",5,168 bhp,2015 (65),55.4,Estate,132 g/km,BLUE,,Euro 6,£199,"£18,450",22-09-2022,
388,A Class,Diesel,2.1L,Manual,"36,709 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,GREY,2.0,Euro 6,£199,"£18,400",27-10-2022,
389,Cla Class,Diesel,2.1L,Manual,"37,659 miles",4,134 bhp,2017 (67),67.3,Saloon,109 g/km,WHITE,1.0,Euro 6,£199,"£18,400",,
390,A Class,Petrol,1.6L,Manual,"23,276 miles",5,102 bhp,2017 (67),51.4,Hatchback,126 g/km,WHITE,1.0,Euro 6,£199,"£18,400",20-09-2022,
391,Gla Class,Diesel,2.1L,Manual,"61,859 miles",5,134 bhp,2017 (67),67.3,Estate,110 g/km,WHITE,1.0,Euro 6,£199,"£18,400",09-08-2022,
392,C Class,Diesel,2.1L,Automatic,"43,808 miles",4,170 bhp,2015 (15),64.2,Saloon,113 g/km,BLUE,2.0,Euro 6,£199,"£18,400",21-08-2022,
393,C Class,Diesel,2.1L,Automatic,"57,653 miles",5,170 bhp,2015 (15),61.4,Estate,118 g/km,WHITE,,Euro 6,£199,"£18,350",25-05-2022,
394,A Class,Diesel,2.1L,Manual,"21,761 miles",5,134 bhp,2018 (18),65.7,Hatchback,111 g/km,GREY,1.0,Euro 6,£199,"£18,300",03-11-2022,
395,C Class,Diesel,2.1L,Automatic,"35,466 miles",4,170 bhp,2017 (66),64.2,Saloon,109 g/km,SILVER,2.0,Euro 6,£199,"£18,300",02-01-2022,
396,A Class,Diesel,2.1L,Automatic,"32,215 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,SILVER,,Euro 6,£199,"£18,300",18-01-2022,
397,C Class,Diesel,2.1L,Automatic,"40,143 miles",4,170 bhp,2015 (65),64.2,Saloon,113 g/km,BLACK,2.0,Euro 6,£199,"£18,300",,
398,C Class,Diesel,2.1L,Automatic,"40,358 miles",4,170 bhp,2016 (66),65.7,Saloon,109 g/km,BLACK,1.0,Euro 6,£199,"£18,300",22-11-2021,
399,A Class,Diesel,2.1L,Automatic,"36,875 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,BLUE,1.0,Euro 6,£199,"£18,200",17-11-2022,
400,A Class,Diesel,1.5L,Automatic,"26,939 miles",5,107 bhp,2018 (18),74.3,Hatchback,101 g/km,BLUE,2.0,Euro 6,£199,"£18,200",26-07-2022,
401,A Class,Diesel,2.1L,Automatic,"53,184 miles",5,134 bhp,2016 (65),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£18,100",19-01-2022,
402,A Class,Diesel,2.1L,Manual,"24,608 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,WHITE,1.0,Euro 6,£199,"£18,100",,
403,A Class,Diesel,1.5L,Automatic,"32,318 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,BLACK,,Euro 6,£199,"£18,100",01-10-2022,
404,Gla,Diesel,2.1L,Automatic,"55,849 miles",5,134 bhp,2015 (65),55.4,Estate,132 g/km,WHITE,2.0,Euro 6,£199,"£18,000",27-10-2021,
405,A Class,Diesel,1.5L,Manual,"32,926 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,BLACK,2.0,Euro 6,£199,"£18,000",13-03-2022,
406,C Class,Diesel,2.1L,Automatic,"62,562 miles",5,170 bhp,2017 (17),60.1,Estate,120 g/km,BLUE,1.0,Euro 6,£199,"£18,000",29-12-2021,
407,A Class,Diesel,2.1L,Automatic,"50,001 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,GREY,2.0,Euro 6,£199,"£17,900",05-11-2021,
408,C Class,Petrol,2.0L,Manual,"75,756 miles",2,181 bhp,2017 (67),53.3,Coupe,123 g/km,BLUE,1.0,Euro 6,£199,"£17,900",01-11-2022,
409,A Class,Diesel,2.1L,Manual,"29,555 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,BLUE,,Euro 6,£199,"£17,900",15-07-2022,
410,Cla Class,Petrol,1.6L,Manual,"52,496 miles",4,121 bhp,2018 (68),51.4,Saloon,152 g/km,WHITE,1.0,Euro 6,£199,"£17,900",27-09-2022,
411,A Class,Diesel,1.5L,Automatic,"24,015 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,WHITE,2.0,Euro 6,£199,"£17,850",10-10-2022,
412,C Class,Diesel,2.1L,Automatic,"71,353 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,2.0,Euro 6,£199,"£17,850",12-11-2022,
413,CLS,Diesel,2.1L,Automatic,"65,259 miles",4,174 bhp,2015 (15),56.5,Coupe,129 g/km,BLACK,,Euro 6,£199,"£17,800",13-12-2021,
414,A Class,Diesel,2.1L,Manual,"44,312 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,WHITE,2.0,Euro 6,£199,"£17,800",03-08-2022,
415,C Class,Diesel,2.1L,Manual,"47,921 miles",4,170 bhp,2016 (65),68.9,Saloon,106 g/km,WHITE,2.0,Euro 6,£199,"£17,800",18-10-2022,
416,E Class,Diesel,2.0L,Automatic,"87,183 miles",4,191 bhp,2017 (17),72.4,Saloon,102 g/km,BLACK,2.0,Euro 6,£199,"£17,800",07-11-2022,
417,A Class,Petrol,1.6L,Automatic,"37,096 miles",5,102 bhp,2018 (67),53.3,Hatchback,124 g/km,BLACK,2.0,Euro 6,£199,"£17,800",,
418,A Class,Petrol,1.6L,Manual,"3,836 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,WHITE,1.0,Euro 6,£199,"£17,700",17-10-2022,
419,Gla Class,Diesel,2.1L,Automatic,"33,657 miles",5,136 bhp,2015 (15),62.8,Estate,119 g/km,WHITE,2.0,Euro 6,£199,"£17,600",18-05-2022,
420,A Class,Diesel,1.5L,Manual,"57,848 miles",5,107 bhp,2016 (65),68.9,Hatchback,107 g/km,WHITE,,Euro 6,£199,"£17,600",03-09-2022,
421,A Class,Diesel,2.1L,Automatic,"50,200 miles",5,174 bhp,2016 (16),67.3,Hatchback,109 g/km,WHITE,,Euro 6,£199,"£17,600",03-01-2022,
422,A Class,Diesel,1.5L,Automatic,"37,565 miles",5,107 bhp,2018 (18),74.3,Hatchback,101 g/km,BLACK,1.0,Euro 6,£199,"£17,600",24-06-2022,
423,Gla Class,Diesel,2.1L,Automatic,"43,700 miles",5,168 bhp,2014 (64),55.4,Estate,132 g/km,GREY,2.0,Euro 6,£199,"£17,600",18-10-2022,
424,A Class,Diesel,1.5L,Manual,"32,193 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,BLACK,2.0,Euro 6,£199,"£17,550",27-11-2021,
