,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Euro Status
425,A Class,Diesel,1.5L,Automatic,"56,557 miles",5,114 bhp,2018 (68),68.9,Hatchback,108 g/km,WHITE,1.0,Euro 6,£199,"£17,500",,
426,A Class,Diesel,2.1L,Automatic,"53,497 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,GREY,2.0,Euro 6,£199,"£17,500",19-07-2022,
427,A Class,Diesel,2.1L,Automatic,"36,408 miles",5,134 bhp,2016 (66),68.9,Hatchback,108 g/km,GREY,2.0,Euro 6,£199,"£17,500",05-09-2022,
428,A Class,Petrol,1.6L,Manual,"15,466 miles",5,102 bhp,2017 (17),51.4,Hatchback,126 g/km,GREY,1.0,Euro 6,£199,"£17,500",28-06-2022,
429,A Class,Diesel,1.5L,Manual,"20,662 miles",5,107 bhp,2016 (16),68.9,Hatchback,107 g/km,BLACK,2.0,Euro 6,£199,"£17,500",30-09-2022,
430,A Class,Diesel,1.5L,Manual,"31,892 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,1.0,Euro 6,£199,"£17,500",20-10-2022,
431,A Class,Diesel,2.1L,Automatic,"34,734 miles",5,134 bhp,2016 (65),68.9,Hatchback,108 g/km,BLACK,,Euro 6,£199,"£17,500",18-10-2022,
432,A Class,Petrol,1.6L,Manual,"16,806 miles",5,121 bhp,2017 (67),50.4,Hatchback,131 g/km,WHITE,2.0,Euro 6,£199,"£17,500",29-11-2021,
433,Gla Class,Diesel,2.1L,Manual,"43,237 miles",5,134 bhp,2016 (16),64.2,Estate,115 g/km,BLACK,2.0,Euro 6,£199,"£17,400",30-03-2022,
434,C Class,Diesel,2.1L,Automatic,"55,046 miles",4,170 bhp,2016 (66),64.2,Saloon,109 g/km,GREY,1.0,Euro 6,£199,"£17,400",10-10-2022,
435,Gla Class,Diesel,2.1L,Automatic,"57,529 miles",5,168 bhp,2015 (15),55.4,Estate,132 g/km,SOUTH SEAS BLUE,2.0,Euro 6,£199,"£17,300",19-05-2022,
436,A Class,Diesel,1.5L,Manual,"35,099 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,WHITE,2.0,Euro 6,£199,"£17,300",30-09-2022,
437,A Class,Diesel,2.1L,Manual,"30,090 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,WHITE,1.0,Euro 6,£199,"£17,200",19-09-2022,
438,Gla Class,Diesel,2.1L,Automatic,"55,600 miles",5,174 bhp,2015 (65),56.5,Estate,130 g/km,BLACK,2.0,Euro 6,£199,"£17,100",02-06-2022,
439,A Class,Petrol,1.6L,Automatic,"50,215 miles",5,102 bhp,2018 (18),55.4,Hatchback,119 g/km,SILVER,1.0,Euro 6,£199,"£17,100",22-07-2022,
440,A Class,Diesel,2.1L,Automatic,"38,745 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,SILVER,2.0,Euro 6,£199,"£17,100",22-03-2022,
441,A Class,Petrol,1.6L,Manual,"30,050 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,BLACK,2.0,Euro 6,£199,"£17,100",01-04-2022,
442,A Class,Diesel,2.1L,Manual,"27,862 miles",5,134 bhp,2017 (66),62.8,Hatchback,116 g/km,WHITE,2.0,Euro 6,£199,"£17,000",20-01-2022,
443,A Class,Diesel,2.1L,Manual,"34,951 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,MAUVE/PURPLE,2.0,Euro 6,£199,"£17,000",11-02-2022,
444,Cla Class,Diesel,2.1L,Manual,"76,782 miles",4,134 bhp,2017 (17),67.3,Saloon,109 g/km,WHITE,1.0,Euro 6,£199,"£17,000",18-08-2022,
445,A Class,Diesel,2.1L,Automatic,"50,725 miles",5,134 bhp,2015 (65),68.9,Hatchback,108 g/km,BLACK,2.0,Euro 6,£199,"£17,000",22-11-2021,
446,E Class,Diesel,2.1L,Automatic,"55,131 miles",2,174 bhp,2016 (16),56.5,Convertible,131 g/km,GREY,2.0,Euro 6,£199,"£17,000",12-03-2022,
447,A Class,Diesel,1.5L,Manual,"29,142 miles",5,107 bhp,2018 (18),80.7,Hatchback,89 g/km,WHITE,1.0,Euro 6,£199,"£17,000",07-03-2022,
448,A Class,Petrol,1.6L,Automatic,"25,497 miles",5,121 bhp,2016 (66),52.3,Hatchback,126 g/km,SILVER,2.0,Euro 6,£199,"£17,000",05-09-2022,
449,A Class,Petrol,1.6L,Manual,"38,457 miles",5,121 bhp,2018 (18),50.4,Hatchback,131 g/km,WHITE,2.0,Euro 6,£199,"£17,000",03-11-2022,
450,A Class,Diesel,1.5L,Manual,"33,012 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,,Euro 6,£199,"£17,000",15-09-2022,
451,A Class,Diesel,2.1L,Manual,"27,539 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,WHITE,1.0,Euro 6,£199,"£17,000",29-09-2022,
452,A Class,Petrol,1.6L,Manual,"37,445 miles",5,121 bhp,2017 (67),50.4,Hatchback,131 g/km,SILVER,1.0,Euro 6,£199,"£16,950",30-10-2021,
453,A Class,Diesel,2.1L,Manual,"50,018 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,BLACK,1.0,Euro 6,£199,"£16,900",28-12-2021,
454,A Class,Diesel,1.5L,Manual,"45,467 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,BLACK,1.0,Euro 6,£199,"£16,900",22-06-2022,
455,A Class,Diesel,2.1L,Automatic,"44,825 miles",5,134 bhp,2016 (16),68.9,Hatchback,108 g/km,BLUE,2.0,Euro 6,£199,"£16,900",15-03-2022,
456,C Class,Diesel,2.1L,Automatic,"52,435 miles",4,204 bhp,2015 (65),64.2,Saloon,109 g/km,WHITE,2.0,Euro 6,£199,"£16,900",03-09-2022,
457,Gla Class,Diesel,2.1L,Automatic,"49,485 miles",5,136 bhp,2015 (15),62.8,Estate,119 g/km,BLACK,2.0,Euro 6,£199,"£16,800",,
458,Cla Class,Diesel,2.1L,Manual,"68,873 miles",4,134 bhp,2016 (65),67.3,Saloon,109 g/km,WHITE,,Euro 6,£199,"£16,800",14-02-2022,
459,A Class,Diesel,2.1L,Automatic,"34,315 miles",5,134 bhp,2016 (66),70.6,Hatchback,103 g/km,GREY,,Euro 6,£199,"£16,800",24-02-2022,
460,C Class,Diesel,2.1L,Automatic,"78,009 miles",4,170 bhp,2015 (65),64.2,Saloon,113 g/km,WHITE,,Euro 6,£199,"£16,800",,
461,A Class,Diesel,2.1L,Automatic,"30,765 miles",5,134 bhp,2016 (16),68.9,Hatchback,108 g/km,SOUTH SEAS BLUE,2.0,Euro 6,£199,"£16,800",14-01-2022,
462,A Class,Diesel,2.1L,Automatic,"73,561 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,SILVER,2.0,Euro 6,£199,"£16,800",26-09-2022,
463,A Class,Diesel,1.5L,Automatic,"36,657 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,BLUE,2.0,Euro 6,£199,"£16,800",24-02-2022,
464,A Class,Diesel,2.1L,Automatic,"58,185 miles",5,134 bhp,2016 (65),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£16,750",05-02-2022,
465,SLK,Diesel,2.1L,Automatic,"26,792 miles",2,201 bhp,2015 (65),70.6,Convertible,132 g/km,WHITE,2.0,Euro 6,£199,"£16,750",,
466,A Class,Diesel,2.1L,Automatic,"71,707 miles",5,134 bhp,2017 (66),68.9,Hatchback,108 g/km,BLACK,,Euro 6,£199,"£16,600",27-02-2022,
467,E Class,Diesel,2.1L,Automatic,"57,422 miles",2,174 bhp,2016 (66),58.9,Coupe,128 g/km,BLACK,1.0,Euro 6,£199,"£16,600",28-03-2022,
468,C Class,Diesel,1.6L,Automatic,"54,664 miles",5,136 bhp,2016 (66),64.2,Estate,114 g/km,BLUE,,Euro 6,£199,"£16,600",09-08-2022,
469,A Class,Diesel,1.5L,Automatic,"31,226 miles",5,107 bhp,2017 (17),74.3,Hatchback,101 g/km,GREY,2.0,Euro 6,£199,"£16,600",05-10-2022,
470,A Class,Diesel,2.1L,Automatic,"80,414 miles",5,174 bhp,2018 (18),67.3,Hatchback,109 g/km,BLACK,2.0,Euro 6,£199,"£16,600",,
471,A Class,Diesel,2.1L,Manual,"41,160 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,BLACK,1.0,Euro 6,£199,"£16,600",30-11-2021,
472,Gla Class,Diesel,2.1L,Automatic,"50,290 miles",5,,2015 (15),,SUV,108 g/km,Black,,,£199,"£16,500",,
473,A Class,Diesel,1.5L,Manual,"44,578 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,BLACK,1.0,Euro 6,£199,"£16,500",09-03-2022,
474,C Class,Diesel,2.1L,Automatic,"78,913 miles",5,170 bhp,2017 (17),60.1,Estate,129 g/km,SILVER,1.0,Euro 6,£199,"£16,500",23-08-2022,
475,Cla Class,Diesel,2.1L,Manual,"35,959 miles",4,137 bhp,2015 (65),64.2,Saloon,114 g/km,WHITE,2.0,Euro 6,£199,"£16,500",10-09-2021,
476,A Class,Diesel,1.5L,Manual,"29,963 miles",5,107 bhp,2016 (66),68.9,Hatchback,107 g/km,RED,2.0,Euro 6,£199,"£16,500",26-08-2022,
477,A Class,Diesel,1.5L,Manual,"26,555 miles",5,107 bhp,2017 (66),68.9,Hatchback,107 g/km,BLACK,2.0,Euro 6,£199,"£16,500",21-01-2022,
478,A Class,Diesel,1.5L,Manual,"23,078 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,WHITE,1.0,Euro 6,£199,"£16,500",22-09-2022,
479,C Class,Diesel,2.1L,Manual,"48,569 miles",5,170 bhp,2016 (16),65.7,Estate,108 g/km,WHITE,1.0,Euro 6,£199,"£16,500",27-01-2022,
480,A Class,Diesel,1.5L,Manual,"38,169 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,RED,2.0,Euro 6,£199,"£16,500",27-08-2022,
481,E Class,Diesel,2.1L,Automatic,"59,537 miles",2,170 bhp,2015 (15),57.7,Convertible,130 g/km,GREY,,,£199,"£16,500",18-07-2022,Euro 5
482,C Class,Diesel,1.6L,Automatic,"69,194 miles",4,136 bhp,2016 (66),65.7,Saloon,111 g/km,WHITE,1.0,Euro 6,£199,"£16,450",28-09-2022,
483,A Class,Diesel,2.1L,Automatic,"35,214 miles",5,134 bhp,2016 (66),70.6,Hatchback,103 g/km,WHITE,2.0,Euro 6,£199,"£16,400",05-10-2022,
484,C Class,Diesel,2.1L,Automatic,"65,891 miles",4,170 bhp,2015 (15),64.2,Saloon,113 g/km,BLACK,2.0,Euro 6,£199,"£16,400",22-10-2022,
485,A Class,Diesel,1.5L,Manual,"36,975 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,BLACK,2.0,Euro 6,£199,"£16,400",04-10-2022,
486,E Class,Diesel,2.1L,Automatic,"48,963 miles",4,174 bhp,2015 (65),61.4,Saloon,121 g/km,BLUE,,Euro 6,£199,"£16,300",24-11-2021,
487,C Class,Diesel,2.1L,Automatic,"76,760 miles",4,204 bhp,2016 (16),64.2,Saloon,109 g/km,WHITE,2.0,Euro 6,£199,"£16,300",10-10-2022,
488,A Class,Diesel,1.5L,Manual,"41,074 miles",5,107 bhp,2018 (67),68.9,Hatchback,107 g/km,BLUE,2.0,Euro 6,£199,"£16,300",11-01-2022,
489,C Class,Diesel,2.1L,Automatic,"43,655 miles",4,170 bhp,2015 (15),64.2,Saloon,110 g/km,BLACK,2.0,Euro 6,£199,"£16,300",16-12-2021,
490,A Class,Diesel,1.5L,Manual,"27,600 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,2.0,Euro 6,£199,"£16,300",29-11-2021,
491,C Class,Diesel,2.1L,Automatic,"53,880 miles",5,170 bhp,2016 (16),62.8,Estate,114 g/km,BLACK,2.0,Euro 6,£199,"£16,250",18-02-2022,
492,A Class,Diesel,1.5L,Automatic,"44,528 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,WHITE,2.0,Euro 6,£199,"£16,200",,
493,E Class,Diesel,2.1L,Automatic,"61,759 miles",4,174 bhp,2015 (65),61.4,Saloon,121 g/km,SILVER,,Euro 6,£199,"£16,200",06-09-2022,
494,C Class,Diesel,1.6L,Automatic,"59,438 miles",4,136 bhp,2016 (16),65.7,Saloon,111 g/km,WHITE,2.0,Euro 6,£199,"£16,150",16-09-2022,
495,A Class,Petrol,1.6L,Manual,"62,204 miles",5,121 bhp,2018 (18),50.4,Hatchback,131 g/km,RED,1.0,Euro 6,£199,"£16,100",29-03-2022,
496,A Class,Petrol,1.6L,Manual,"33,926 miles",5,121 bhp,2017 (67),50.4,Hatchback,131 g/km,BLACK,,Euro 6,£199,"£16,100",29-11-2021,
497,A Class,Petrol,1.6L,Manual,"23,826 miles",5,102 bhp,2017 (17),51.4,Hatchback,126 g/km,BLACK,1.0,Euro 6,£199,"£16,100",11-06-2022,
498,A Class,Diesel,1.5L,Manual,"23,561 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,1.0,Euro 6,£199,"£16,100",12-08-2022,
499,A Class,Diesel,1.5L,Manual,"34,382 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,GREY,1.0,Euro 6,£199,"£16,100",04-10-2022,
500,A Class,Diesel,2.1L,Automatic,"42,950 miles",5,134 bhp,2015 (65),70.6,Hatchback,103 g/km,BRONZE,,Euro 6,£199,"£16,100",20-10-2022,
501,A Class,Diesel,2.1L,Automatic,"65,404 miles",5,134 bhp,2017 (67),70.6,Hatchback,103 g/km,BLACK,1.0,Euro 6,£199,"£16,100",,
502,A Class,Petrol,1.6L,Automatic,"45,890 miles",5,154 bhp,2015 (65),52.3,Hatchback,126 g/km,WHITE,2.0,Euro 6,£199,"£16,100",01-08-2022,
503,A Class,Diesel,1.5L,Automatic,"45,624 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,BLACK,1.0,Euro 6,£199,"£16,100",21-12-2021,
504,A Class,Diesel,2.1L,Manual,"53,113 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,BLACK,1.0,Euro 6,£199,"£16,100",18-01-2022,
505,A Class,Diesel,1.5L,Automatic,"22,846 miles",5,107 bhp,2016 (66),74.3,Hatchback,101 g/km,GREY,2.0,Euro 6,£199,"£16,000",30-09-2022,
506,A Class,Diesel,2.1L,Manual,"28,445 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,WHITE,1.0,Euro 6,£199,"£16,000",30-03-2022,
507,A Class,Diesel,2.1L,Manual,"30,073 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,WHITE,1.0,Euro 6,£199,"£16,000",15-08-2022,
508,A Class,Diesel,2.1L,Manual,"21,534 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,RED,1.0,Euro 6,£199,"£16,000",07-01-2022,
509,E Class,Electric,2.1L,Automatic,"50,593 miles",5,188 bhp,2015 (65),1.0,Coupe,,BLACK,,Euro 6,£199,"£16,000",14-06-2022,
510,A Class,Diesel,1.5L,Manual,"34,599 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,BLACK,2.0,Euro 6,£199,"£16,000",22-04-2022,
511,C Class,Diesel,2.1L,Automatic,"75,206 miles",5,170 bhp,2017 (67),64.2,Estate,114 g/km,BLACK,2.0,Euro 6,£199,"£16,000",24-01-2022,
512,Gla Class,Diesel,2.1L,Manual,"33,056 miles",5,136 bhp,2015 (65),62.8,Estate,119 g/km,WHITE,1.0,Euro 6,£199,"£16,000",08-08-2022,
513,C Class,Diesel,1.6L,Manual,"63,528 miles",4,136 bhp,2015 (65),68.9,Saloon,106 g/km,WHITE,2.0,Euro 6,£199,"£15,900",07-03-2022,
514,A Class,Petrol,1.6L,Manual,"21,958 miles",5,102 bhp,2018 (18),52.3,Hatchback,124 g/km,RED,1.0,Euro 6,£199,"£15,800",11-03-2022,
515,A Class,Diesel,1.5L,Manual,"56,608 miles",5,107 bhp,2016 (66),68.9,Hatchback,107 g/km,GREY,2.0,Euro 6,£199,"£15,800",30-09-2022,
516,C Class,Diesel,2.1L,Automatic,"66,840 miles",5,170 bhp,2015 (64),62.8,Estate,115 g/km,GREY,2.0,Euro 6,£199,"£15,800",20-01-2022,
517,A Class,Diesel,1.5L,Manual,"33,429 miles",5,107 bhp,2018 (18),68.9,Hatchback,107 g/km,WHITE,1.0,Euro 6,£199,"£15,750",20-05-2022,
518,A Class,Diesel,1.5L,Manual,"35,323 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,WHITE,1.0,Euro 6,£199,"£15,750",05-01-2022,
519,A Class,Diesel,1.5L,Manual,"42,599 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,WHITE,1.0,Euro 6,£199,"£15,700",,
520,A Class,Diesel,1.5L,Manual,"36,889 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,BLACK,2.0,Euro 6,£199,"£15,600",,
521,A Class,Diesel,1.5L,Automatic,"35,368 miles",5,107 bhp,2016 (16),74.3,Hatchback,101 g/km,WHITE,2.0,Euro 6,£199,"£15,600",29-10-2022,
522,A Class,Diesel,1.5L,Manual,"51,764 miles",5,107 bhp,2017 (66),68.9,Hatchback,107 g/km,JUPITER RED,2.0,Euro 6,£199,"£15,600",26-01-2022,
523,A Class,Diesel,2.1L,Automatic,"63,470 miles",5,134 bhp,2016 (16),68.9,Hatchback,108 g/km,SILVER,2.0,Euro 6,£199,"£15,500",06-08-2022,
524,A Class,Diesel,2.1L,Manual,"43,748 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,SILVER,,Euro 6,£199,"£15,500",18-04-2022,
525,A Class,Diesel,1.5L,Manual,"45,532 miles",5,107 bhp,2018 (67),72.4,Hatchback,102 g/km,RED,1.0,Euro 6,£199,"£15,500",,
526,A Class,Petrol,1.6L,Manual,"22,630 miles",5,102 bhp,2017 (17),51.4,Hatchback,126 g/km,WHITE,1.0,Euro 6,£199,"£15,500",16-09-2022,
527,A Class,Diesel,1.5L,Manual,"19,476 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,WHITE,1.0,Euro 6,£199,"£15,500",,
528,A Class,Diesel,1.5L,Manual,"30,924 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,2.0,Euro 6,£199,"£15,500",20-09-2022,
529,A Class,Diesel,1.5L,Automatic,"39,248 miles",5,107 bhp,2016 (16),74.3,Hatchback,101 g/km,BLACK,2.0,Euro 6,£199,"£15,400",10-03-2022,
530,A Class,Diesel,1.5L,Manual,"42,405 miles",5,107 bhp,2017 (67),72.4,Hatchback,102 g/km,BLACK,1.0,Euro 6,£199,"£15,400",02-11-2022,
531,A Class,Diesel,1.5L,Manual,"30,054 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,BLUE,1.0,Euro 6,£199,"£15,250",03-09-2022,
532,A Class,Diesel,1.5L,Manual,"48,272 miles",5,107 bhp,2016 (66),68.9,Hatchback,107 g/km,SILVER,1.0,Euro 6,£199,"£15,250",26-09-2022,
533,C Class,Diesel,2.1L,Manual,"53,290 miles",4,170 bhp,2017 (17),70.6,Saloon,103 g/km,WHITE,1.0,Euro 6,£199,"£15,250",12-07-2022,
534,C Class,Diesel,2.1L,Manual,"26,657 miles",4,170 bhp,2016 (16),70.6,Saloon,103 g/km,BLUE,2.0,Euro 6,£199,"£15,200",08-06-2022,
535,A Class,Diesel,2.1L,Manual,"47,139 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,BLUE,,Euro 6,£199,"£15,100",22-06-2022,
536,A Class,Diesel,2.1L,Automatic,"75,940 miles",5,174 bhp,2016 (16),67.3,Hatchback,109 g/km,BLACK,1.0,Euro 6,£199,"£15,000",04-06-2022,
537,C Class,Diesel,2.1L,Manual,"62,554 miles",5,170 bhp,2017 (67),65.7,Estate,108 g/km,BLACK,1.0,Euro 6,£199,"£15,000",,
538,A Class,Diesel,1.5L,Manual,"45,340 miles",5,107 bhp,2017 (67),72.4,Hatchback,102 g/km,SILVER,2.0,Euro 6,£199,"£15,000",07-09-2022,
539,A Class,Diesel,1.5L,Manual,"61,736 miles",5,107 bhp,2018 (67),68.9,Hatchback,107 g/km,BLUE,2.0,Euro 6,£199,"£15,000",30-01-2022,
540,A Class,Diesel,1.5L,Automatic,"52,242 miles",5,107 bhp,2017 (17),76.4,Hatchback,98 g/km,WHITE,1.0,Euro 6,£199,"£15,000",15-06-2022,
541,A Class,Diesel,1.5L,Manual,"26,548 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,WHITE,1.0,Euro 6,£199,"£15,000",,
542,A Class,Diesel,1.5L,Manual,"24,971 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,SILVER,,Euro 6,£199,"£15,000",11-10-2021,
543,A Class,Diesel,1.5L,Manual,"34,024 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,BLACK,1.0,Euro 6,£199,"£15,000",08-11-2021,
544,A Class,Diesel,1.5L,Manual,"45,126 miles",5,107 bhp,2016 (16),68.9,Hatchback,107 g/km,SILVER,2.0,Euro 6,£199,"£15,000",28-01-2022,
545,A Class,Diesel,1.5L,Manual,"43,371 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,BLACK,1.0,Euro 6,£199,"£14,950",07-09-2022,
546,E Class,Diesel,2.1L,Automatic,"67,382 miles",4,174 bhp,2016 (16),61.4,Saloon,121 g/km,BLACK,2.0,Euro 6,£199,"£14,800",14-03-2022,
547,A Class,Diesel,1.5L,Manual,"38,813 miles",5,107 bhp,2016 (66),80.7,Hatchback,89 g/km,GREY,2.0,Euro 6,£199,"£14,800",,
548,A Class,Diesel,1.5L,Automatic,"54,249 miles",5,107 bhp,2016 (16),74.3,Hatchback,101 g/km,WHITE,1.0,Euro 6,£199,"£14,400",24-07-2022,
549,SLK,Diesel,2.1L,Automatic,"54,885 miles",2,201 bhp,2015 (65),70.6,Convertible,132 g/km,BLACK,2.0,Euro 6,£199,"£14,200",23-07-2022,
550,C Class,Diesel,1.6L,Manual,"44,891 miles",4,136 bhp,2016 (66),72.4,Saloon,102 g/km,BLACK,,Euro 6,£199,"£14,100",03-10-2021,
551,A Class,Diesel,2.1L,Manual,"36,838 miles",5,134 bhp,2016 (65),65.7,Hatchback,111 g/km,RED,,Euro 6,£199,"£14,000",25-06-2022,
552,A Class,Diesel,1.5L,Manual,"44,127 miles",5,107 bhp,2016 (16),72.4,Hatchback,102 g/km,BLACK,2.0,Euro 6,£199,"£14,000",16-12-2021,
553,A Class,Diesel,1.5L,Manual,"73,423 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,1.0,Euro 6,£199,"£14,000",27-09-2022,
554,A Class,Diesel,1.5L,Manual,"45,654 miles",5,107 bhp,2015 (65),72.4,Hatchback,102 g/km,BLUE,,Euro 6,£199,"£13,900",16-09-2022,
555,A Class,Diesel,1.5L,Automatic,"58,862 miles",5,107 bhp,2015 (65),74.3,Hatchback,101 g/km,SILVER,,Euro 6,£199,"£13,600",18-10-2022,
556,A Class,Diesel,1.5L,Manual,"70,644 miles",5,107 bhp,2016 (16),68.9,Hatchback,107 g/km,GREY,1.0,Euro 6,£199,"£13,500",13-10-2022,
557,A Class,Diesel,1.5L,Manual,"59,562 miles",5,107 bhp,2017 (17),80.7,Hatchback,89 g/km,RED,1.0,Euro 6,£199,"£13,000",28-08-2022,
558,SLK,Diesel,2.1L,Automatic,"65,190 miles",2,204 bhp,2015 (15),56.5,Convertible,132 g/km,BLACK,2.0,,£199,"£12,800",09-01-2022,Euro 5
559,A Class,Diesel,1.5L,Manual,"51,712 miles",5,109 bhp,2015 (15),70.6,Hatchback,105 g/km,BLACK,2.0,,£199,"£12,800",16-06-2022,Euro 5
560,A Class,Diesel,1.5L,Manual,"75,559 miles",5,107 bhp,2016 (16),80.7,Hatchback,89 g/km,GREY,2.0,Euro 6,£199,"£12,200",,
561,A Class,Diesel,2.1L,Manual,"83,403 miles",5,134 bhp,2016 (66),68.9,Hatchback,106 g/km,BLUE,1.0,Euro 6,£199,"£12,000",21-11-2021,
562,SLK,Diesel,2.1L,Automatic,"48,179 miles",2,204 bhp,2015 (15),56.5,Convertible,132 g/km,SILVER,,,£199,"£12,000",29-10-2021,Euro 5
563,A Class,Diesel,1.5L,Manual,"86,534 miles",5,107 bhp,2016 (66),80.7,Hatchback,89 g/km,BLACK,1.0,Euro 6,£199,"£11,700",05-09-2022,
564,SLK,Diesel,2.1L,Automatic,"54,826 miles",2,204 bhp,2014 (14),56.5,Convertible,132 g/km,BLACK,2.0,,£199,"£11,100",27-05-2022,Euro 5
565,B Class,Diesel,1.5L,Manual,"38,794 miles",5,107 bhp,2015 (15),68.9,MPV,108 g/km,SILVER,2.0,Euro 6,£199,"£10,400",12-07-2022,
