,Model,Fuel Type,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,Engine Size,CO2,MOT Expires,VAT Qualifying
0,LEAF,Electric,Automatic,"7,176 miles",5,215 bhp,2020 (69),1.0,Hatchback,WHITE,1.0,Euro 6,£199,"£27,000",,,,
1,X-Trail,Petrol,Manual,"6,103 miles",5,163 bhp,2018 (68),44.1,Estate,BLACK,1.0,Euro 6,£199,"£25,500",1.6L,149 g/km,,
2,Qashqai,Petrol,Automatic,"1,756 miles",5,158 bhp,2020 (20),39.8,Hatchback,BLUE,1.0,Euro 6,£199,"£23,400",1.3L,131 g/km,,
3,X-Trail,Diesel,Manual,"38,891 miles",5,130 bhp,2018 (68),55.4,Estate,BLACK,1.0,Euro 6,£199,"£22,700",1.6L,133 g/km,10-08-2022,
4,X-Trail,Diesel,Manual,"9,523 miles",5,130 bhp,2018 (18),55.4,Estate,SILVER,1.0,Euro 6,£199,"£22,100",1.6L,133 g/km,06-06-2022,
5,LEAF,Electric,Automatic,"4,638 miles",5,148 bhp,2020 (20),1.0,Hatchback,GREY,1.0,Euro 6,£199,"£22,000",,,,
6,Qashqai,Petrol,Manual,"12,015 miles",5,158 bhp,2018 (68),39.8,Hatchback,BLUE,1.0,Euro 6,£199,"£22,000",1.3L,130 g/km,14-11-2022,
7,Qashqai,Petrol,Automatic,"10,756 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£21,500",1.2L,133 g/km,15-05-2022,
8,Juke,Petrol,Automatic,"4,894 miles",5,115 bhp,2020 (70),46.3,Hatchback,GREY,1.0,Euro 6,£199,"£21,000",1.0L,136 g/km,,
9,Qashqai,Diesel,Manual,"20,712 miles",5,114 bhp,2018 (68),51.4,Hatchback,BLUE,1.0,Euro 6,£199,"£20,800",1.5L,110 g/km,25-08-2022,
10,Qashqai,Petrol,Automatic,"10,521 miles",5,113 bhp,2018 (18),50.4,Hatchback,RED,1.0,Euro 6,£199,"£20,000",1.2L,133 g/km,29-06-2022,
11,Qashqai,Diesel,Manual,"35,377 miles",5,114 bhp,2019 (68),51.4,Hatchback,GREY,1.0,Euro 6,£199,"£20,000",1.5L,110 g/km,,
12,Qashqai,Diesel,Automatic,"36,449 miles",5,128 bhp,2017 (67),60.1,Hatchback,WHITE,,Euro 6,£199,"£19,900",1.6L,122 g/km,20-12-2021,
13,Qashqai,Petrol,Automatic,"19,703 miles",5,113 bhp,2018 (18),50.4,Hatchback,SILVER,1.0,Euro 6,£199,"£19,900",1.2L,133 g/km,30-03-2022,
14,Qashqai,Petrol,Manual,"11,991 miles",5,113 bhp,2018 (68),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£19,800",1.2L,129 g/km,26-09-2022,
15,X-Trail,Diesel,Automatic,"32,551 miles",5,130 bhp,2018 (18),55.4,Estate,BLUE,1.0,Euro 6,£199,"£19,600",1.6L,135 g/km,11-03-2022,
16,Juke,Petrol,Manual,"8,433 miles",5,115 bhp,2020 (20),46.3,Hatchback,GREY,1.0,Euro 6,£199,"£19,600",1.0L,142 g/km,,
17,Qashqai,Petrol,Manual,"23,571 miles",5,140 bhp,2019 (19),39.2,Hatchback,SILVER,2.0,Euro 6,£199,"£19,100",1.3L,130 g/km,,
18,Qashqai,Petrol,Manual,"18,763 miles",5,113 bhp,2018 (68),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£19,100",1.2L,129 g/km,,
19,X-Trail,Diesel,Manual,"23,808 miles",5,130 bhp,2018 (18),55.4,Estate,BLUE,2.0,Euro 6,£199,"£19,100",1.6L,133 g/km,29-03-2022,
20,Qashqai,Petrol,Manual,"27,491 miles",5,113 bhp,2018 (68),50.4,Hatchback,SILVER,1.0,Euro 6,£199,"£19,000",1.2L,129 g/km,29-09-2022,
21,Qashqai,Petrol,Manual,"19,580 miles",5,163 bhp,2018 (68),48.7,Hatchback,SILVER,1.0,Euro 6,£199,"£19,000",1.6L,134 g/km,03-09-2022,
22,Qashqai,Diesel,Automatic,"41,737 miles",5,128 bhp,2017 (67),60.1,Hatchback,GREY,1.0,Euro 6,£199,"£18,800",1.6L,122 g/km,04-11-2022,
23,Qashqai,Petrol,Manual,"24,743 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£18,600",1.2L,129 g/km,,
24,Qashqai,Petrol,Manual,"5,956 miles",5,113 bhp,2018 (68),50.4,Hatchback,RED,1.0,Euro 6,£199,"£18,500",1.2L,129 g/km,29-09-2022,
25,Qashqai,Diesel,Manual,"28,889 miles",5,108 bhp,2018 (68),74.3,Hatchback,SILVER,1.0,Euro 6,£199,"£18,500",1.5L,99 g/km,29-09-2022,
26,LEAF,Electric,Automatic,"38,841 miles",5,148 bhp,2018 (68),1.0,Hatchback,BLACK,1.0,Euro 6,£199,"£18,500",,,30-10-2022,
27,Qashqai,Petrol,Manual,"14,216 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£18,500",1.2L,129 g/km,,
28,Qashqai,Diesel,Manual,"23,360 miles",5,108 bhp,2018 (68),74.3,Hatchback,RED,1.0,Euro 6,£199,"£18,500",1.5L,99 g/km,26-09-2022,
29,Qashqai,Diesel,Manual,"28,767 miles",5,114 bhp,2018 (68),51.4,Hatchback,GREY,1.0,Euro 6,£199,"£18,350",1.5L,110 g/km,,
30,Qashqai,Diesel,Manual,"35,970 miles",5,108 bhp,2017 (17),74.3,Hatchback,BLUE,2.0,Euro 6,£199,"£18,300",1.5L,99 g/km,18-08-2022,
31,Qashqai,Diesel,Manual,"24,170 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£18,300",1.5L,99 g/km,27-03-2022,
32,X-Trail,Diesel,Automatic,"44,250 miles",5,130 bhp,2017 (17),53.3,Estate,BLACK,2.0,Euro 6,£199,"£18,000",1.6L,139 g/km,25-08-2022,
33,Qashqai,Petrol,Manual,"20,879 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,2.0,Euro 6,£199,"£18,000",1.2L,129 g/km,27-09-2022,
34,Qashqai,Petrol,Manual,"22,669 miles",5,113 bhp,2017 (67),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£18,000",1.2L,129 g/km,17-09-2022,
35,Qashqai,Petrol,Manual,"18,270 miles",5,140 bhp,2019 (19),40.4,Hatchback,BLACK,2.0,Euro 6,£199,"£18,000",1.3L,130 g/km,,
36,Qashqai,Diesel,Manual,"33,349 miles",5,108 bhp,2018 (68),74.3,Hatchback,GREY,1.0,Euro 6,£199,"£17,900",1.5L,99 g/km,19-07-2022,
37,Qashqai,Petrol,Manual,"26,995 miles",5,113 bhp,2018 (68),50.4,Hatchback,WHITE,1.0,Euro 6,£199,"£17,900",1.2L,129 g/km,11-09-2022,
38,Qashqai,Diesel,Manual,"21,146 miles",5,114 bhp,2018 (68),52.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,800",1.5L,110 g/km,09-10-2022,
39,Qashqai,Diesel,Manual,"40,146 miles",5,108 bhp,2017 (67),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,800",1.5L,99 g/km,28-09-2022,
40,Qashqai,Petrol,Manual,"19,162 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,,Euro 6,£199,"£17,800",1.2L,129 g/km,07-07-2022,
41,Qashqai,Petrol,Manual,"19,586 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,700",1.2L,129 g/km,29-09-2022,
42,Qashqai,Petrol,Manual,"11,842 miles",5,113 bhp,2018 (68),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£17,700",1.2L,129 g/km,03-08-2022,
43,Qashqai,Petrol,Manual,"30,231 miles",5,113 bhp,2018 (68),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£17,700",1.2L,129 g/km,29-09-2022,
44,Qashqai,Petrol,Manual,"30,210 miles",5,158 bhp,2020 (20),41.5,Hatchback,BRONZE,1.0,Euro 6,£199,"£17,700",1.3L,121 g/km,,
45,Qashqai,Petrol,Manual,"26,380 miles",5,113 bhp,2017 (67),50.4,Hatchback,BLACK,2.0,Euro 6,£199,"£17,600",1.2L,129 g/km,05-08-2022,
46,Qashqai,Diesel,Manual,"15,998 miles",5,128 bhp,2018 (18),64.2,Hatchback,SILVER,1.0,Euro 6,£199,"£17,500",1.6L,116 g/km,,
47,Qashqai,Diesel,Manual,"32,382 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,500",1.5L,99 g/km,,
48,Qashqai,Petrol,Manual,"22,570 miles",5,113 bhp,2017 (67),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,500",1.2L,129 g/km,29-09-2022,
49,Qashqai,Diesel,Manual,"17,810 miles",5,128 bhp,2018 (18),64.2,Hatchback,BLACK,1.0,Euro 6,£199,"£17,500",1.6L,116 g/km,30-08-2022,
50,Qashqai,Petrol,Manual,"21,337 miles",5,113 bhp,2018 (68),50.4,Hatchback,RED,1.0,Euro 6,£199,"£17,500",1.2L,129 g/km,06-09-2022,
51,Qashqai,Diesel,Manual,"37,053 miles",5,114 bhp,2018 (68),52.3,Hatchback,GREY,1.0,Euro 6,£199,"£17,500",1.5L,110 g/km,29-09-2022,
52,Qashqai,Petrol,Manual,"20,517 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£17,500",1.2L,129 g/km,05-11-2022,
53,Qashqai,Diesel,Manual,"15,740 miles",5,108 bhp,2018 (18),74.3,Hatchback,GREY,1.0,Euro 6,£199,"£17,500",1.5L,99 g/km,27-03-2022,
54,Qashqai,Petrol,Manual,"32,659 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,2.0,Euro 6,£199,"£17,500",1.2L,129 g/km,27-09-2022,
55,Qashqai,Diesel,Automatic,"38,229 miles",5,128 bhp,2017 (17),61.4,Hatchback,WHITE,1.0,Euro 6,£199,"£17,300",1.6L,127 g/km,01-12-2021,
56,Qashqai,Petrol,Manual,"23,708 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,300",1.2L,129 g/km,,
57,Qashqai,Diesel,Manual,"45,003 miles",5,108 bhp,2018 (68),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,300",1.5L,99 g/km,,
58,X-Trail,Diesel,Manual,"47,924 miles",5,130 bhp,2017 (17),52.3,Estate,BLACK,2.0,Euro 6,£199,"£17,300",1.6L,143 g/km,25-10-2022,
59,Qashqai,Petrol,Manual,"28,671 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£17,200",1.2L,129 g/km,27-07-2022,
60,X-Trail,Diesel,Manual,"62,927 miles",5,130 bhp,2018 (68),55.4,Estate,ORANGE,1.0,Euro 6,£199,"£17,000",1.6L,133 g/km,10-09-2022,
61,Qashqai,Petrol,Manual,"18,437 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.2L,129 g/km,29-06-2022,
62,Qashqai,Diesel,Manual,"29,534 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.5L,99 g/km,27-03-2022,
63,Qashqai,Petrol,Manual,"21,141 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.2L,129 g/km,27-09-2022,
64,Qashqai,Diesel,Manual,"20,080 miles",5,108 bhp,2017 (67),74.3,Hatchback,BLUE,2.0,Euro 6,£199,"£17,000",1.5L,99 g/km,28-07-2022,
65,Qashqai,Diesel,Manual,"22,862 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.5L,99 g/km,30-03-2022,
66,Qashqai,Diesel,Manual,"31,556 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,2.0,Euro 6,£199,"£16,900",1.5L,99 g/km,,
67,Qashqai,Diesel,Manual,"32,516 miles",5,128 bhp,2017 (67),64.2,Hatchback,RED,1.0,Euro 6,£199,"£16,900",1.6L,116 g/km,01-08-2022,
68,Qashqai,Diesel,Manual,"20,898 miles",5,114 bhp,2018 (68),53.3,Hatchback,BLACK,2.0,Euro 6,£199,"£16,900",1.5L,100 g/km,,
69,X-Trail,Diesel,Manual,"38,939 miles",5,130 bhp,2017 (66),55.4,Estate,BLACK,2.0,Euro 6,£199,"£16,800",1.6L,133 g/km,06-10-2021,
70,Qashqai,Petrol,Manual,"25,384 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,800",1.2L,129 g/km,29-06-2022,
71,Qashqai,Petrol,Manual,"23,307 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,700",1.2L,129 g/km,29-06-2022,
72,LEAF,Electric,Automatic,"49,552 miles",5,148 bhp,2018 (18),1.0,Hatchback,WHITE,2.0,Euro 6,£199,"£16,700",,,20-05-2022,
73,Qashqai,Petrol,Manual,"30,161 miles",5,113 bhp,2017 (67),50.4,Hatchback,WHITE,1.0,Euro 6,£199,"£16,600",1.2L,129 g/km,19-12-2021,
74,Qashqai,Petrol,Manual,"31,811 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.2L,129 g/km,,
75,Qashqai,Petrol,Manual,"26,842 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.2L,129 g/km,23-05-2022,
76,Qashqai,Petrol,Manual,"19,951 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,2.0,Euro 6,£199,"£16,500",1.2L,129 g/km,28-06-2022,
77,Qashqai,Petrol,Manual,"27,377 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.2L,129 g/km,29-09-2022,
